,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
east,-0.03221873,0.11027922,0.060738318,-0.013250003,-0.015902381,-0.15315774,0.063580655,0.12903823,-0.052074518,-0.06838425,0.009596961,-0.12464798,0.024931213,0.0163677,0.003226571,-0.06546522,0.07488984,-0.06618745,0.020054523,-0.20868674,0.008191438,0.08151053,0.070703916,-0.050870035,-0.061306316,0.007997199,-0.10704573,-0.062838316,-0.06561815,0.04030522,0.09370568,0.08928893,0.03246243,-0.015947573,-0.04832416,0.11482154,-0.0054886388,-0.0923933,-0.102057725,-0.15139468,0.020010266,-0.05131047,-0.051564727,0.002538195,0.07291894,-0.04727715,-0.051621806,-0.06442594,0.019952146,0.04720775,0.022722522,-0.10617941,-0.074253336,0.005239536,-0.09946326,0.0318768,0.054368462,-0.027231198,-0.08995824,-0.0201475,0.023948254,-0.018134816,-0.010991756,-0.014139361,-0.116830185,0.059688725,0.02305763,0.016523182,-0.12092296,0.1008999,-0.051546976,0.015380487,0.08016989,0.039553948,0.038020216,0.02985337,0.030637104,-0.05439272,-0.1008459,0.08301859,-0.045532115,-0.07564847,-0.06335574,0.13006534,-0.035135906,0.055152606,-0.045988917,0.107832104,0.083315924,0.03188034,0.112904385,0.022961192,-0.010851569,0.053057905,0.14542317,0.07795454,0.024879195,-0.10160003,0.029089764,0.009521615
high,-0.031483755,0.15850982,0.07741895,0.010533283,-0.010275372,-0.21305506,0.08897613,0.18475164,-0.066328384,-0.082891464,0.0059149205,-0.1702254,0.013609872,0.0324901,-0.0010805285,-0.11228958,0.088661954,-0.11131855,0.009763757,-0.2892887,0.012438377,0.12032775,0.095481746,-0.07474734,-0.08792438,-0.02245173,-0.17195348,-0.06604981,-0.111564115,0.04906408,0.1415655,0.097263224,0.027062051,-0.046639536,-0.08131194,0.15478203,-0.0058392924,-0.12105012,-0.1374013,-0.2289487,0.0058781025,-0.07144643,-0.066657946,-0.0039433674,0.11243054,-0.07091577,-0.053906873,-0.081264585,0.03734479,0.07976398,0.031570796,-0.16523503,-0.073254615,0.0072182436,-0.14803618,0.04578744,0.09426967,-0.038698904,-0.14214678,-0.036101334,0.05816556,-0.02355263,-0.012696143,-0.031802353,-0.15268482,0.08352214,0.04914057,0.047458343,-0.18931955,0.14870836,-0.076641485,0.03196741,0.12769783,0.03316594,0.054661717,0.0325079,0.01561101,-0.057542175,-0.1406371,0.105549455,-0.07304251,-0.1008361,-0.11550312,0.16779149,-0.020444151,0.07009973,-0.0708669,0.13586117,0.12005887,0.055719666,0.14918278,0.023617608,-0.025114402,0.06802975,0.22838736,0.10281432,0.00075723405,-0.14394045,0.017677963,0.022223616
state,-0.055251647,0.1445361,0.083916605,-0.016760485,-0.0081962515,-0.16335894,0.095122956,0.16758136,-0.047321916,-0.0754328,-0.028479751,-0.1681546,0.011113123,0.027811293,-0.020003336,-0.1292024,0.09460286,-0.07931607,0.038431045,-0.26700065,0.0014481924,0.13350545,0.07236208,-0.045628138,-0.07953484,0.012397851,-0.17316337,-0.07515873,-0.11841486,0.06428972,0.10997223,0.1186422,0.029546611,-0.030051317,-0.09514007,0.12480251,-0.03660222,-0.14314663,-0.121947326,-0.20735249,0.021767262,-0.04240667,-0.04946513,-0.0119773215,0.0817862,-0.08653403,-0.040598314,-0.10461902,0.021688603,0.0635839,0.040444486,-0.16968901,-0.08365771,-0.021430958,-0.13015169,0.034138825,0.08362475,-0.03724985,-0.12526135,-0.01878738,0.034680374,-0.030894138,-0.007882575,-0.036170892,-0.1423501,0.0780373,0.0534864,0.013084993,-0.18497674,0.13865578,-0.06606538,0.013634395,0.13280633,0.01150761,0.049730524,0.034726933,0.050169896,-0.07756917,-0.15443748,0.11979217,-0.09442776,-0.10614465,-0.10528183,0.19239794,-0.025855051,0.06860684,-0.028712915,0.13182773,0.1020741,0.028007094,0.14232223,0.023670362,-0.0060946443,0.053447604,0.20552534,0.09361153,0.033281144,-0.115073085,0.049087055,0.05450447
st,-0.09790495,0.21463558,0.07932653,-0.006938358,-0.028189423,-0.26362336,0.11283866,0.1879087,-0.0956036,-0.094329596,-0.027302803,-0.19975646,0.023270529,0.048454404,0.001330074,-0.14029695,0.11972824,-0.10797615,0.0415659,-0.35775524,0.027395658,0.16689348,0.10906464,-0.075559385,-0.08820781,0.0034909747,-0.2172682,-0.11661942,-0.15414238,0.06704413,0.17765608,0.17408124,0.040707573,-0.049758133,-0.102909714,0.18829642,-0.035780556,-0.15749864,-0.1642744,-0.283742,0.01980893,-0.08919217,-0.045160796,-0.024383478,0.12754452,-0.08095043,-0.080184154,-0.1163592,0.05624041,0.06083863,0.047153853,-0.19652024,-0.13935985,-0.009438703,-0.17880714,0.06340614,0.12589394,-0.060725424,-0.19112779,-0.03987612,0.08775094,-0.020263528,-0.030750243,-0.04590081,-0.16191202,0.089085884,0.055861153,0.03272357,-0.20747879,0.19544095,-0.110157855,-0.008798599,0.14265473,0.042443607,0.07939636,0.050205566,0.037695587,-0.08763211,-0.17346196,0.16393793,-0.08199861,-0.1615553,-0.12213521,0.23871244,-0.024009094,0.10213331,-0.053382795,0.21120334,0.14525688,0.039171793,0.20035708,0.038310293,-0.02112518,0.08971316,0.2463098,0.13874127,0.03603204,-0.18917003,0.036625955,0.057014696
north,-0.036273595,0.14242011,0.061675984,-0.012772736,0.003968198,-0.17212644,0.087119885,0.14476356,-0.03643717,-0.08312469,0.011308038,-0.15278605,0.006779891,0.014784285,-0.013768421,-0.079629414,0.08753848,-0.08023949,0.024424735,-0.23481998,0.019942,0.10784995,0.07321315,-0.052430406,-0.07831082,0.0031297123,-0.12395339,-0.07034915,-0.07758121,0.037553817,0.10375722,0.094251074,0.02233745,-0.045008138,-0.07700482,0.11491812,0.0040419195,-0.09042192,-0.10466481,-0.17350715,0.030485153,-0.0636873,-0.036698017,-0.00692771,0.098474994,-0.0385659,-0.057408497,-0.07433513,0.036854398,0.05483139,0.03706812,-0.115245625,-0.069432855,-0.013826008,-0.12106279,0.029624538,0.08620141,-0.028599396,-0.12018292,-0.024124445,0.038649026,-0.026437586,-0.014771235,-0.02084811,-0.11055151,0.0657938,0.03475193,0.024981087,-0.1426726,0.11628448,-0.069023676,-0.00056732,0.106039494,0.026089046,0.040021844,0.00920599,0.033769347,-0.0507396,-0.11282947,0.097569175,-0.06766248,-0.09408411,-0.07597935,0.12903735,-0.013143575,0.06295141,-0.035374217,0.13013425,0.08380308,0.02364295,0.12745413,0.023789378,-0.002713441,0.06472495,0.17771308,0.081508726,0.013151264,-0.100038484,0.017858546,0.032529544
republ,-0.07813064,0.20069242,0.09494102,0.0135119,-0.025742015,-0.2494436,0.09961166,0.19995156,-0.09849787,-0.06817332,-0.02621981,-0.22413544,0.027372887,0.05713308,-0.024694627,-0.15444478,0.090668194,-0.10475661,0.052201606,-0.32256112,0.011749714,0.1709845,0.09175633,-0.08497409,-0.10896213,-0.011457747,-0.2029928,-0.09011907,-0.1477877,0.03870244,0.16297963,0.15273301,0.0313468,-0.022204302,-0.10642273,0.19958307,-0.011232851,-0.1690929,-0.16706826,-0.24298503,0.045861427,-0.08857877,-0.070941456,-0.011533322,0.1369656,-0.05681305,-0.08710438,-0.12851632,0.05517653,0.043753408,0.045285072,-0.18941666,-0.10630733,0.009245311,-0.16528985,0.07031836,0.12713155,-0.05901832,-0.16730295,-0.032200146,0.07669165,-0.034712277,-0.04460385,-0.06227784,-0.15297031,0.069847085,0.04585748,0.035874464,-0.20771141,0.18776931,-0.11377447,-0.0063413093,0.15252773,0.031155529,0.08195641,0.058428407,0.036695477,-0.093475364,-0.16654918,0.16096695,-0.09766074,-0.15456834,-0.13439783,0.22689223,-0.041344397,0.10152255,-0.07877523,0.17870675,0.16472119,0.06321813,0.16738,0.038034834,-0.037465226,0.06578043,0.2390649,0.15115494,0.022001578,-0.1554758,0.05108788,0.052914042
exclud,-0.038352653,0.13228114,0.07923565,0.005444571,-0.004205385,-0.20346357,0.08085561,0.19053651,-0.050768074,-0.080944926,-0.0049172486,-0.18616693,0.0014622622,0.04567648,-0.01809243,-0.08556134,0.07970946,-0.1021522,0.016997786,-0.28908473,0.02825322,0.13667671,0.09823003,-0.05187636,-0.07278824,0.0035754375,-0.14989042,-0.0838644,-0.11935396,0.04025481,0.14429756,0.09860436,0.032051135,-0.054485746,-0.077329986,0.1582871,0.002025285,-0.12744595,-0.13215764,-0.2267267,0.023330986,-0.07779206,-0.08306664,-0.008475956,0.124694,-0.063563466,-0.07799918,-0.08695627,0.050470352,0.07452041,0.02587838,-0.15998086,-0.08430723,0.011688633,-0.13164718,0.04863803,0.0786758,-0.060517997,-0.1499598,-0.030485598,0.05862787,-0.022280674,-0.015915887,-0.018067706,-0.14564876,0.083392434,0.020547586,0.0419008,-0.16697124,0.15172452,-0.06412033,0.027665893,0.12092833,0.025995977,0.05045035,0.014927122,0.032771587,-0.0763154,-0.123279415,0.10193996,-0.069122694,-0.12548886,-0.11804265,0.15912937,-0.04090209,0.07119143,-0.06674365,0.13071536,0.10054558,0.036730323,0.14535993,0.030064095,-0.006723954,0.06920219,0.21352574,0.12010302,0.0019540298,-0.13837513,0.010387755,0.02466028
arab,-0.053923767,0.16390938,0.07825757,-0.014877314,-0.005191029,-0.19707772,0.10770075,0.16315895,-0.07973303,-0.07297115,-0.019038599,-0.1742229,0.04236323,0.036405083,0.00054939877,-0.13341689,0.08709289,-0.09467048,0.048695765,-0.27111617,0.027943458,0.11677559,0.07504901,-0.07431238,-0.077741645,-0.017276,-0.1629732,-0.09791383,-0.12134887,0.04759265,0.13473293,0.13548124,0.007480624,-0.042131364,-0.06669116,0.16193944,-0.041789524,-0.118741326,-0.11110686,-0.21285637,0.034876928,-0.0787356,-0.028297788,-0.015782932,0.107900664,-0.06453599,-0.066839255,-0.095893726,0.041761152,0.048040386,0.04736107,-0.12733684,-0.08184661,-0.010750526,-0.10991787,0.047581404,0.09716837,-0.04793174,-0.14776638,-0.029033577,0.05032769,-0.03222798,-0.041640144,-0.044775657,-0.11960967,0.06378827,0.044513255,0.025974693,-0.14938575,0.12296748,-0.07877743,-0.010187945,0.123939864,0.04759916,0.07569014,0.042963684,0.0479635,-0.060429923,-0.12211723,0.15111054,-0.07529623,-0.10664385,-0.0933873,0.17252572,-0.013840616,0.08064304,-0.035501126,0.15092897,0.1324868,0.041294783,0.14453614,0.038760167,-0.004375799,0.05789343,0.21321529,0.124026105,0.006463604,-0.14596297,0.03297354,0.021773513
pacif,-0.021899393,0.08899898,0.038401175,0.0034827162,-0.0007372834,-0.13514318,0.06278135,0.124891,-0.053699214,-0.06202387,-0.012096422,-0.11504685,0.011295508,0.032718964,0.0037666447,-0.07053204,0.06360419,-0.04838101,0.02610428,-0.17346877,0.01932535,0.071185276,0.051613204,-0.048530515,-0.046259005,-0.0020205732,-0.11758023,-0.047957413,-0.058896508,0.026522858,0.0976323,0.07215744,0.016604535,-0.02309008,-0.051544297,0.090327464,-0.0028250106,-0.07441263,-0.073112145,-0.15225741,0.01353709,-0.051570512,-0.027904207,0.00539686,0.062448345,-0.044279903,-0.047085855,-0.059322756,0.037181627,0.035897847,0.01608907,-0.11565016,-0.05878731,0.0012862297,-0.08393366,0.04094884,0.05511146,-0.021261182,-0.07621903,-0.019562874,0.034706105,0.0019679477,0.0029036205,-0.0100681,-0.10445829,0.069622435,0.034243476,0.028098062,-0.11619396,0.098395035,-0.038608134,-0.00020295249,0.09103585,0.025557231,0.047076903,0.017430494,0.02278272,-0.033706725,-0.099090725,0.064603336,-0.063485496,-0.077364065,-0.069339916,0.11833034,-0.006582898,0.04525006,-0.028855598,0.09698587,0.06822642,0.012336103,0.10856746,0.012409787,-0.005743751,0.061259136,0.1458711,0.069353946,0.019100474,-0.09397257,0.029001493,0.02302786
small,-0.034999058,0.12643203,0.05413423,0.008472726,-0.02596606,-0.124855965,0.08840308,0.11368477,-0.051341888,-0.05496084,-0.016991705,-0.11885337,0.03006601,0.027535211,-0.0059646927,-0.08984287,0.085092865,-0.07399079,0.008420498,-0.20886172,0.0031298369,0.10822682,0.04392339,-0.04905781,-0.074433066,0.007154174,-0.12865092,-0.08507471,-0.08461141,0.052727383,0.09141702,0.08004442,0.02928834,-0.025132986,-0.08214435,0.11681504,-0.031050822,-0.11128562,-0.10077014,-0.16992585,0.021047372,-0.031622518,-0.022586832,0.0025348337,0.06659362,-0.0593857,-0.044234853,-0.09073645,0.024799775,0.04405229,0.0045752395,-0.12958837,-0.083107315,-0.01961595,-0.09628558,0.042210627,0.07693502,-0.028786931,-0.09119348,-0.021785153,0.03330068,-0.028819915,-0.014933149,-0.03533376,-0.102058224,0.07421179,0.019494453,0.0016736831,-0.14224073,0.0956424,-0.063060954,0.003220244,0.10269387,0.009409631,0.034454353,0.027609145,0.038890485,-0.043486,-0.11710769,0.08636687,-0.07335069,-0.09101169,-0.08059387,0.14359862,-0.0031695087,0.04780884,-0.029959476,0.100928895,0.08040256,0.0035570106,0.104172505,0.02352854,-0.027799435,0.06459835,0.14036937,0.05715995,0.00067766104,-0.0845971,0.041385513,0.04890718
